Project Name,License,Project Type,Categories,Start Year,Earliest mention URL,Project Website,Download links,Last Update,Checked By,Last Checked,Forked from,Founders,Founder active since,Founder early URL,Number of contributors,Number of forks,Source repo url,Bug tracker url,Mailingist archive / Forum url,Documentation URL,Wiki URL,Programming Languages,Frameworks,Packages Used,Integrations,OSes,Approx Number of Customers,Approx Number of files,Approx Lines of code,Number of Dependencies,Packaged for,Packaged in,Professional support companies number,Professional support cost/h range,Install Cost,Yearly Cost,Monthly Cost,Time to install?,Time to set up?,Import tools?,Scalability,Scalability references,Founder emails,Founder urls,Contributors,Live Demo,Video Demo,Company,Largest Customers,Large customer case links,Supported Brands
Freeside,Freeware/Shareware,NMS,"Portal, Dashboard, Billing, Monitoring, Support, Provisioning",,,www.freeside.biz,,,Chyconsl,29 Jan 2017,,Ivan,,,,,,,,,http://freeside.biz/mediawiki/index.php/Main_Page,Perl,,Apache,IPpay,,,,,,Debian,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=3vNDrGVDBLw,,,,
Gensoft Billpro,,,Billing,1901,,www.Geneseo.com,,,Chyconsl,29 Jan 2017,,Scott Rubins ~ President & CEO,,,,,,,http://www.geneseo.com/customer-support/geneseo-telephone-company/,,,,,Apache,IPpay,,,,,,,,,,,,,,,,,,info@maxhellopages.com,,,,,,,,
ITSPtec Solutions,Freeware,,Billing,2005,,www.itsptec.com,,,Chyconsl,29 Jan 2017,,,,,,,,,,,,C / Perl,Php,Apache,IPpay(B),,,,,,,,,,,,,,,,,,,,,,,ITSPtec Inc.,,,
Joomla,GNU,Framework,Web,2005,,www.joomla.org,,,Chyconsl,29 Jan 2017,,Roland Dalmulder,,,,,https://github.com/joomla/joomla-cms,,,,,"PHP
",CMS,Mysql/PostgreSQL/Nginx/apache,IPpay(B),,,,,,,,,,,,,,,,,,http://forum.joomla.org/memberlist.php?mode=viewprofile&u=70309,,,https://demo.joomla.org,,,,,
Kbilling,,,Billing,,,www.ksoftware.net,,,Chyconsl,29 Jan 2017,,,,,,,,,,,,,,,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
Logisense Engage IP,,,Billing,1998,,www.logisense.com/,,,Chyconsl,,,CEO: Flavio Gomes CTO: Rob Payne,,,,,https://searchcode.com/codesearch/view/39193605/#,https://searchcode.com/codesearch/raw/39193605/,,,,OSS CDN/superfish/Maxcdn,,jQuery Fancybox,IPpay,,,,,,,,,,,,,,,,,,rgill@logisense.com,,,,,,,,
Northland Software,Commercial ,,Billing,1997,,www.northlandsoftware.com,http://www.softwaresea.com/Windows/download-SQL2Excel-10231384.htm,,Chyconsl,,,,,,,,http://www.northlandsoftware.com/products/detail?p=ccare,,,,,Asp.net,,Microsoft MII,IPpay(B),,,,,,,,,,,$100,,,,,,,billing@northlandsoftware.com,,,,,,,,
Optigold,Freeware,,Billing,,,,http://optigold-isp.software.informer.com/3.0/,,Chyconsl,29 Jan 2017,,,,,,,https://gist.github.com/anonymous/b4c5f0244891241cfc2d1b120e0e58a8,,,,,,,"Oracle, MS SQL Server",IPpay(B),,,,,,,,,,,,,,,,,,,,,,,,,,
Platypus ISP Billing,,,Billing,,,www.ispbilling.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,Javascript/Jquery/Modernizr/fancy box/jcarousel,php,Apache,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
Powercode,,,Billing,,,www.powercode.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,Javascript,Jquery CDN,Apache,IPpay,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=6-5IviUKsS4,,,,
Probooks,,,Billing,,,www.pcaccountant.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,Javascript,ASP.NET,Microsoft IIS,IPpay(B),,,,,,,,,,,,,,,,,,,,,,,,,,
Rentec Direct,Commercial,,Billing,,,www.rentecdirect.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,Javascript/JQuery,Php,Nginx,IPpay,,,,,,,,,,,,$65,,,,,,,,,,,,,,
Datatill,Commercial,NMS,"Portal, Dashboard, Billing, Monitoring",,,http://www.datatill.co.za,,,Chyconsl,30 Jan 2017,,Emil Rautenbach,,,,0,,,,,,PHP,"Codeigniter, Ioncube",,"SagePay, PayFast",Linux,,30,,,,,1,R300-R1000/h,R2500,,R500-R5750,3-6h,2-7 Days,,,,,,,,,,,,"Mikrotik, Ubiquiti"
Rodopi,,,Billing,,,www.rodopi.com,,,Chyconsl,,,,,,,,,,,,,,,,IPpay(B),,,,,,,,,,,,,,,,,,,,,,,,,,
Skyway Networks,,,Billing,,,www.skywaynetworks.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,php,"ASP.NET
",Microsoft IIS,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
Source One Solutions,,,Billing,,,www.sourceone-solutions.biz,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,Coldfusion,"ASP.NET
",Apache,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
TigerPaw,,,Billing,,,www.tigerpawsoftware.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,cufon/lightbox/jquery,Modernize,nginx,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
UDP,,,Billing,,,www.UDP.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,JQuery/Json/Java,AVADA/PHP, lighttpd/APACHE,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
VBOS,,,Billing,,,www.vbosoftware.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,bxslider/Java/Jquery,php,Miscrosoft IIS 8,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
Visp,,,Billing,,,www.visp.net,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,Jquery/prototype/GSAP,PHP/Pearl,Apache,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
WHMCS,,,Billing,,,www.whmcs.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,OWL/Jcarousel/Jquery,php,nginx,IPpay(B),,,,,,,,,,,,,,,,,,,,,,,,,,
Wifi Gator,,,Billing,,,www.wifigator.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,JQuery/Java,php,Apache,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
Wifi Rush,,,Billing,,,www.wifirush.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,Mootool/Jcarousel/Jquery/,php,nginx,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
Wispmon,,,Billing,,,www.wispmon.com,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,SlickJS/Jquery,"ASP.NET
",Microsoft IIS,IPpay,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=wwd8mv_azxA,,,,
Zen Cart,,,Billing,,,www.zen-cart.com/,,,Chyconsl,30 Jan 2017,,,,,,,,,,,,Yahoo interface/lightbox,,Apache,IPpay,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagios,,NMS,,,,,,2017/01/25,Coenraad,"
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHP Server Monitor,GPL3+,Monitoring,"Dashboard, Notification, SMS",2007,https://sourceforge.net/projects/phpservermon/files/phpservermon/,http://www.phpservermonitor.org/,,2017/01/25,Coenraad,"
",,"Pepijn (Pep) Over ""sf:ipdope"" ""github:popeh""",2002,,51,0,https://github.com/phpservermon/phpservermon,https://github.com/phpservermon/phpservermon/issues,https://sourceforge.net/p/phpservermon/discussion/845823/,,,html5shiv/jqery,Twenty/Twelve/Php,Apache,,Linux,,,,,,,,,,,,,,,,,"Pepijn Over <ipdope@users.sourceforge.net>,",http://www.neanderthal-technology.com; http://web.archive.org/web/20131222210705/http://www.neanderthal-technology.com/2005/12/,"Samuel Denis-D'Ortun ""github:sadortun""",,,,,,
Cabot,,,Dashboard,,,http://cabotapp.com/,,2017/01/25,Coenraad,31 Jan 2017,,,,,,,,,,,,Python,SPF,Namecheap DNS,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,
OLPC XS,,Collection,,,,http://schoolserver.org/,,,Chyconsl,31 Jan 2017,,,,,,,,,,,,HTMl5shiv/jqery,ASP.NET,Microsoft IIS,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenWRT,firmware,OS,"Embedded, Platform, Lightweight",2004,,https://openwrt.org,,,Chyconsl,31 Jan 2017,,,,,,,,,,,,"C, Lua",,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,
Zabbix,GNU,NMS,,2016,,www.zabbix.com,http://www.zabbix.com/download,,Chyconsl,31 Jan 2017,,Alexei Vladishev.,,,,,svn://svn.zabbix.com/,,,,,C lan,Php,Mysql,,,,,,,,,,,,,,,,,,,sales@zabbix.com,http://www.zabbix.com/about,,,,,,,
Spiceworks,Commercial,private,,2006,,https://www.spiceworks.com/,https://www.spiceworks.com/downloads/,,Chyconsl,31 Jan 2017,,Jay Hallberg,,,,,,,,,,Ruby on Rails,,miscrosoft IIS8,,,,,,,,,,,,,,,,,,,partner@spiceworks.com,https://www.spiceworks.com/about/,,,,,,,
Icinga,GPL,NM,,2009,,https://www.icinga.com/,https://www.icinga.com/download/,,Chyconsl,31 Jan 2017,Nagios,Jeffrey Hammond,,,,,https://github.com/Icinga,https://github.com/Icinga/icingaweb2-module-director,https://lists.icinga.org/pipermail/icinga-devel/,https://docs.icinga.com/,,C,Oracle/RESTI API,postgresql/mysql,,,,,,,,,,,,,,,,,,,,,https://www.icinga.com/community/get-involved/,https://www.icinga.com/icinga-demo/,,,,,
Munin,GNU,NM,,2014,,munin-monitoring.org/,http://downloads.munin-monitoring.org/munin/stable/?C=N;O=D,,Chyconsl,31 Jan 2017,RRD tool,Jimmy Olsen,2003,,,,http://munin-monitoring.org/wiki/MuninExchangeIsDown,,,,,C/shellscript,Pearl/python,plugins,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataDog,Private,SaaS,,2010,,https://www.datadoghq.com/,,,Chyconsl,31 Jan 2017,,"Olivier Pomel (CEO),",2010,,,,https://github.com/DataDog/dd-agent,,,,,Python,Miscrosoft Azure/,Postgresql,,,,,,,,,,,,,,,,,,,info@datadoghq.com,,,,,,,,
PRTG,Commercial,NM,,2008,,https://www.paessler.com/prtg,https://www.paessler.com/prtg/download,,Chyconsl,31 Jan 2017,,"Paessler Router Traffic Grapher,",,,"English, German, Spanish, French, Portuguese, Dutch, Czech, Russian, Japanese, Simplified Chinese",,https://github.com/PaesslerAG,,,,,Javascript,.net,apache/ngix,,Windows/Linux,,,,,,,,,,1600,,,,,,,,,,,,,,,
Monit,AGPL,PS,,2016,,https://mmonit.com/,https://mmonit.com/monit/#download,,Chyconsl,31 Jan 2017,,Tildeslash Ltd,,,,,http://freecode.com/projects/monit,,,https://mmonit.com/monit/#documentation,https://en.wikipedia.org/wiki/Monit,Javascript,,apache/HSTS,,unix,,,,,,,,,,,,,,,,,,,,,,Tildeslash Ltd,,,
Shinken,AGPL,MF,,2009,,www.shinken-monitoring.org/,http://www.shinken-monitoring.org/download.php,,Chyconsl,31 Jan 2017,Nagios,Jean Gabès,,,,,https://github.com/naparuba/shinken,https://www.openhub.net/p/Shinken,,,,python,Oracle/php,SQL,,windows/unix,,,,,,,,,,,,,,,,,,,,,,,,,
Observium,QPL,NMM,,,,www.observium.org/,,,Chyconsl,,,,,,,,https://github.com/eunas/gotdeb/wiki/Observium,,,,,RRDtool/graphviz/fping,php,Apache/MySQL,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=v0MbXGGDe14,,,,
Pulseway,,RMM,,2011,,https://www.pulseway.com/,https://www.pulseway.com/downloads,,Chyconsl,31 Jan 2017,,Marius Mihalec,,,,,https://github.com/glasklart/hd/issues/4527,,,,,Flexslider/Jresponsder/Jquery,Asp.net,M IIS,,,,,,,,,,,,,,,,,,,,,,,,MMSOFT Design Limited,,,
Cacti,GNU,NM,,2016,2001,www.cacti.net/,http://www.cacti.net/download_cacti.php,,,,RRD tool,Ian Berry,,,,,svn://svn.cacti.net/cacti,,http://www.cacti.net/mailing_lists.php,http://www.cacti.net/documentation.php,https://en.wikipedia.org/wiki/Cacti_%28software%29,Shellscript/RRD tool,php,Mysql,,Cross-platform,,,,,,,,,,,,,,,,,,,,,,,,,
Op5 Monitor,,,,2004,,https://www.op5.com/,https://www.op5.com/download-op5-monitor/,,,,,Jan Josephson and Fredrik Åkerström,,Jonas Vestin,,,https://github.com/op5/?p=system-addons/plugins/op5/check_snmpif.git;a=tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
check_mk,,,,,,https://mathias-kettner.de/checkmk.html,,,,,,,,,,,,,,https://mathias-kettner.de/checkmk.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netdata,,,,,,https://my-netdata.io/,,,,,,,,,,,https://github.com/firehol/netdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netcrunch,,,,,,https://www.adremsoft.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zenoss core,,,monitoring,,,https://www.zenoss.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opsview atom,,,,,,https://www.opsview.com/products/opsview-atom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dynatrace ruxit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uninett nav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opsview enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monitis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
portmonitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opennms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
snsu core,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mikrotik dude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandora FMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coscale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT Asset Tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solarwinds,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
axibase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfpack,,,,,,http://wolfpack.codeplex.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RouterOS,Commercial,OS,Frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZeroShell,,OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClearBox,,OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPCop,,OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoothwall,,OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pfSense,,OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UBNT,Commercial,OS,Frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freeradius,,Daemon,Radius,2005?,,http://freeradius.org,,,,,,,,,,,,,,,,,,,,,,,,,,"Debian, Ubuntu",,,,,,,,,,,,,,,,,,,
Radiator,,Daemon,Radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TekRadius,Commercial,Daemon,Radius,,,,,,,,,,,,,,,,,,,Java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elektron,,Daemon,Radius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolynx Radius,Commercial,Daemon,Radius,,,http://www.evolynx.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netlink Radius,Commercial,Daemon,Radius,,,http://netlinkwireless.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlissRadius,Commercial,Daemon,Radius,,,http://blissradius.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aradial,Commercial,Daemon,Radius,,,http://www.aradial.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asterisk,,Daemon,VOIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FreeSwitch,,Daemon,VOIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft NPS,Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPPay,,Gateway,Payment,,,http://www.converge-tech.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SagePay,,Gateway,Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PayFast,,Gateway,Payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Readynet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonar Software,Commercial,,,,,https://sonar.software/,,,,,,,,,,,,,https://sonar.community/,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/watch?v=s5Es2_CMqao,,,,
Cadebill,Commercial,,"Billing, Provisioning",,,http://www.cadebill.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radius Manager,Commercial,,Billing,,,,,,,,,,,,,,,,,,,,,,,Linux,,200,,,Centos,,,,,,,,,,,,,,,,,,,,
Kamalio,,,,,,https://www.kamailio.org/w/features/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloud4wi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ringcentral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aircall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
untangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sophos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sonicwall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opnsense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vyatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vyos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ipfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
endian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zentyal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aerohive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-nanny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nxfilter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dansguardian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freedombox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
librenms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEDE,,OS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LiMe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloudy,GPLv2,,server,,,https://cloudy.community/,,,,,,,,,,,https://github.com/Clommunity/getinconf,,,,http://en.wiki.guifi.net/wiki/What_is_Cloudy,PHP,CakePHP,"Bootstrap,Bootswatch,TwitterBootstrap,DebugKit",,Debian,,,,,,,,,,,,,,,,,,? https://github.com/agustim/getinconf,,,,,,,
BRCK,,,,,,http://brck.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gazella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wispmon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swiftfox.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spotipo,,,,,,https://spotipo.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Router Configuration Generator,,,,,,http://rcg-tool.sourceforge.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gen-it.net,,,,,,https://gen-it.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchconfigs,,,,,,http://www.hatchconfigs.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
friendly-tech.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.muftwifi.com/software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
